,date,Moon Phase
0,2021-12-11,First Quarter
1,2021-12-12,First Quarter
2,2021-12-13,First Quarter
3,2021-12-14,
4,2021-12-15,
5,2021-12-16,
6,2021-12-17,Full Moon
7,2021-12-18,Full Moon
8,2021-12-19,Full Moon
9,2021-12-20,Full Moon
10,2021-12-21,Full Moon
11,2021-12-22,
12,2021-12-23,
13,2021-12-24,
14,2021-12-25,Third Quarter
15,2021-12-26,Third Quarter
16,2021-12-27,Third Quarter
17,2021-12-28,Third Quarter
18,2021-12-29,Third Quarter
19,2021-12-30,
20,2021-12-31,New Moon
21,2022-01-01,New Moon
22,2022-01-02,New Moon
23,2022-01-03,New Moon
24,2022-01-04,New Moon
25,2022-01-05,
26,2022-01-06,
27,2022-01-07,First Quarter
28,2022-01-08,First Quarter
29,2022-01-09,First Quarter
30,2022-01-10,First Quarter
31,2022-01-11,First Quarter
32,2022-01-12,
33,2022-01-13,
34,2022-01-14,
35,2022-01-15,
36,2022-01-16,Full Moon
37,2022-01-17,Full Moon
38,2022-01-18,Full Moon
39,2022-01-19,Full Moon
40,2022-01-20,Full Moon
41,2022-01-21,
42,2022-01-22,
43,2022-01-23,Third Quarter
44,2022-01-24,Third Quarter
45,2022-01-25,Third Quarter
46,2022-01-26,Third Quarter
47,2022-01-27,Third Quarter
48,2022-01-28,
49,2022-01-29,
50,2022-01-30,New Moon
51,2022-01-31,New Moon
52,2022-02-01,New Moon
53,2022-02-02,New Moon
54,2022-02-03,New Moon
55,2022-02-04,
56,2022-02-05,
57,2022-02-06,First Quarter
58,2022-02-07,First Quarter
59,2022-02-08,First Quarter
60,2022-02-09,First Quarter
61,2022-02-10,First Quarter
62,2022-02-11,
63,2022-02-12,
64,2022-02-13,
65,2022-02-14,Full Moon
66,2022-02-15,Full Moon
67,2022-02-16,Full Moon
68,2022-02-17,Full Moon
69,2022-02-18,Full Moon
70,2022-02-19,
71,2022-02-20,
72,2022-02-21,Third Quarter
73,2022-02-22,Third Quarter
74,2022-02-23,Third Quarter
75,2022-02-24,Third Quarter
76,2022-02-25,Third Quarter
77,2022-02-26,
78,2022-02-27,
79,2022-02-28,New Moon
80,2022-03-01,New Moon
81,2022-03-02,New Moon
82,2022-03-03,New Moon
83,2022-03-04,New Moon
84,2022-03-05,
85,2022-03-06,
86,2022-03-07,
87,2022-03-08,First Quarter
88,2022-03-09,First Quarter
89,2022-03-10,First Quarter
90,2022-03-11,First Quarter
91,2022-03-12,First Quarter
92,2022-03-13,
93,2022-03-14,
94,2022-03-15,
95,2022-03-16,Full Moon
96,2022-03-17,Full Moon
97,2022-03-18,Full Moon
98,2022-03-19,Full Moon
99,2022-03-20,Full Moon
100,2022-03-21,
101,2022-03-22,
102,2022-03-23,Third Quarter
103,2022-03-24,Third Quarter
104,2022-03-25,Third Quarter
105,2022-03-26,Third Quarter
106,2022-03-27,Third Quarter
107,2022-03-28,
108,2022-03-29,
109,2022-03-30,New Moon
110,2022-03-31,New Moon
111,2022-04-01,New Moon
112,2022-04-02,New Moon
113,2022-04-03,New Moon
114,2022-04-04,
115,2022-04-05,
116,2022-04-06,
117,2022-04-07,First Quarter
118,2022-04-08,First Quarter
119,2022-04-09,First Quarter
120,2022-04-10,First Quarter
121,2022-04-11,First Quarter
122,2022-04-12,
123,2022-04-13,
124,2022-04-14,Full Moon
125,2022-04-15,Full Moon
126,2022-04-16,Full Moon
127,2022-04-17,Full Moon
128,2022-04-18,Full Moon
129,2022-04-19,
130,2022-04-20,
131,2022-04-21,Third Quarter
132,2022-04-22,Third Quarter
133,2022-04-23,Third Quarter
134,2022-04-24,Third Quarter
135,2022-04-25,Third Quarter
136,2022-04-26,
137,2022-04-27,
138,2022-04-28,New Moon
139,2022-04-29,New Moon
140,2022-04-30,New Moon
141,2022-05-01,New Moon
142,2022-05-02,New Moon
143,2022-05-03,
144,2022-05-04,
145,2022-05-05,
146,2022-05-06,
147,2022-05-07,First Quarter
148,2022-05-08,First Quarter
149,2022-05-09,First Quarter
150,2022-05-10,First Quarter
151,2022-05-11,First Quarter
152,2022-05-12,
153,2022-05-13,
154,2022-05-14,Full Moon
155,2022-05-15,Full Moon
156,2022-05-16,Full Moon
157,2022-05-17,Full Moon
158,2022-05-18,Full Moon
159,2022-05-19,
160,2022-05-20,Third Quarter
161,2022-05-21,Third Quarter
162,2022-05-22,Third Quarter
163,2022-05-23,Third Quarter
164,2022-05-24,Third Quarter
165,2022-05-25,
166,2022-05-26,
167,2022-05-27,
168,2022-05-28,New Moon
169,2022-05-29,New Moon
170,2022-05-30,New Moon
171,2022-05-31,New Moon
172,2022-06-01,New Moon
173,2022-06-02,
174,2022-06-03,
175,2022-06-04,
176,2022-06-05,First Quarter
177,2022-06-06,First Quarter
178,2022-06-07,First Quarter
179,2022-06-08,First Quarter
180,2022-06-09,First Quarter
181,2022-06-10,
182,2022-06-11,
183,2022-06-12,Full Moon
184,2022-06-13,Full Moon
185,2022-06-14,Full Moon
186,2022-06-15,Full Moon
187,2022-06-16,Full Moon
188,2022-06-17,
189,2022-06-18,
190,2022-06-19,
191,2022-06-20,
