New Moon,First Quarter,Full Moon,Third Quarter
2022-01-13,2022-01-20,2022-01-28,2022-01-06
2022-02-11,2022-02-19,2022-02-27,2022-02-04
2022-03-13,2022-03-21,2022-03-28,2022-03-06
2022-04-12,2022-04-20,2022-04-27,2022-04-04
2022-05-11,2022-05-19,2022-05-26,2022-05-03
2022-06-10,2022-06-18,2022-06-24,2022-06-02
2022-07-10,2022-07-17,2022-07-24,2022-07-01
2022-08-08,2022-08-15,2022-08-22,2022-07-31
2022-09-07,2022-09-13,2022-09-21,2022-08-30
2022-10-06,2022-10-13,2022-10-20,2022-09-29
2022-11-04,2022-11-11,2022-11-19,2022-10-28
2022-12-04,2022-12-11,2022-12-19,2022-11-27
,,,2022-12-27
